73;Dktvafw;Tvshpmmhxluckolnw;19599.5;23.17;34;4;3457;8;4;2751;3489;10
74;Ywcguuf;Oorymrnvcdnkrcpth;17242.6;6.51;27;4;2134;25;5;9356;5493;7
75;Gebsppw;Adglpoqrirkvirlmo;17562.1;12.68;28;8;4419;42;2;6061;8425;3
76;Komnubv;Ibsjwpqnkaaqucawq;15238.9;47.17;23;9;1563;19;1;897;457;8
77;Qlnwjim;Dpciavtpciaggstow;19976.3;3.68;6;2;7126;15;4;5103;7960;5
78;Wqkxgfb;Boutpiucmltcwwmut;14061.6;29.02;31;3;5661;44;6;2182;5008;6
79;Fpwxdls;Cfagtqlyhkesnqaeu;17761.7;29.85;4;10;2503;15;1;2184;5449;7
80;Trsfobd;Tfsosoamkmexnlldw;17822.2;40.53;25;7;8756;21;3;9473;3307;9
81;Gcocolh;Jrnajbqyyndovxdfv;12242.9;12;8;7;9432;31;5;7229;7174;3
82;Bdvtqjh;Kssuowrwkmwnrdeiq;12118.2;44.17;6;1;7772;4;10;7802;9440;7
83;Gyegqui;Pydcqnqcmyardpemf;12645;27;31;2;7969;23;5;4507;495;7
84;Kjalpka;Dleyhclgkbbuxdxrm;15809.2;13.85;22;8;149;20;6;9517;265;10
85;Dlleqhw;Djaaepqdmhgkaifnr;11720.2;13.36;22;7;5178;35;7;3438;2474;3
86;Ubflnbg;Khfjqdsqlyovnbmhh;17309.6;41.53;11;10;8228;49;6;1836;4277;2
87;Ttiljlu;Lprxwodghfcvlbqtm;12082.5;2.53;8;10;386;28;3;9675;669;6
88;Vlfttiq;Oveoeqbxwxqjwuaax;12439.7;8.19;7;4;2592;24;2;2507;2021;10
89;Esxmlls;Jgwagkmufvgrxmcdr;13845.6;16.17;12;5;2603;6;10;6872;6566;1
90;Bykxyuc;Egdnewgbanoybwaja;19329;37.34;17;5;7414;26;7;6625;4848;1
91;Lifhiqc;Bjpumonwxfjxshatv;10864.5;12.51;8;4;1195;8;4;4254;100;7
92;Dbkmjpn;Owncvpqkpdcywrrrl;12331.7;12.51;20;3;1989;47;9;7725;4144;3
93;Nuixxtx;Wkvqymtdcaosvvehv;13792;15.68;3;2;2573;26;5;5518;8059;8
94;Skkflnu;Lvyhxqkabhooaafea;15124.8;37.36;43;1;3202;44;6;1711;419;4
95;Qjvpnyo;Hkfrfqobdgvopiuyh;12808.3;19.17;13;10;7358;8;8;1817;8948;1
96;Pddbwct;Twacdkgaykqbtvmsi;18341.1;48.19;15;5;4630;5;2;9979;7962;4
97;Pdgqhkc;Tfkalpnpajpviylmn;17808.6;49.68;2;3;7585;8;6;7158;2346;3
98;Hegcpsm;Pokyhmpddvlntlkmk;18101.4;29.02;1;8;5051;38;4;6010;1053;4
99;Jxuqcvt;Ymmljujwtvpaekwrf;14849.5;4.02;4;10;5899;2;5;1280;3662;2
100;Vjkywrg;Wewnbklqcujmpwcoa;10126.2;22;40;9;6819;9;2;1144;2342;10
101;Seyarit;Glqkbqralnifuwioh;19011.5;11.19;9;6;6487;39;7;1541;6148;6
102;Xqvnttv;Javcgcetbvbhlijqa;14344;50;16;5;5329;26;7;6599;4481;3
103;Rdufdqi;Btwajeyoishvvwkoc;12843.5;38.68;37;6;8627;2;8;5688;9380;5
104;Hjkoebg;Hvblbgnjvykqbmyic;13779.4;14;1;11;1741;1;3;1275;1170;6
105;Drmxtpo;Kiowlaxuevgsidvna;18075.3;14.02;45;2;6881;7;9;1936;9466;8
106;Dllsclb;Dhiamodibwmvvvjac;10118.8;15.34;35;8;6180;13;2;8123;3583;1
107;Exthjpk;Oirlocqxqpvxgwkxy;15014.4;26.17;39;6;1767;24;6;9927;182;9
108;Vsqwmpo;Rvllfuttcgburuyyo;18678.1;5.85;16;4;4182;5;1;150;2994;4
109;Nahnqpd;Elsdjmbqnhmlstvrp;17975.5;35;7;5;6447;10;4;9004;2445;2
110;Dxdhmqm;Emrnvxemdrcmcooxo;18736.1;25.85;37;8;8087;10;5;3276;2633;7
111;Ytlxlph;Rmtdtwdirfcqhgpob;18404.6;34.85;18;4;56;14;10;2897;9798;4
112;Afotjty;Ceibccjfckjekmyfn;14997;32.34;6;7;2302;22;9;2225;2341;4
113;Cnpoevg;Qblojjetsueavpedo;14667.3;49.19;8;5;9812;47;6;2350;3309;2
114;Nmekikp;Kwwvhkgcyulqrqlmw;15701.2;16.17;30;3;2265;29;2;6046;2014;5
115;Cihqqxc;Pjmyvgetwkyfcupnp;10612.1;38.68;24;6;8072;45;1;9069;9092;7
116;Ibcteme;Wvmxhnygbtpvrtiuh;17159.5;14.85;7;11;9591;42;5;1568;1053;3
117;Dqmydjq;Ndkgtlyhdqwiokhfy;14598.4;13.17;27;4;7103;36;4;5467;5853;9
118;Ieqxetv;Piullsbaawwolxosg;18994.9;5;24;2;3693;41;5;2198;6161;5
119;Ghnmmpv;Hihukbgeycqxfxfee;16250.8;20.53;9;5;7095;1;1;7885;6769;7
120;Bpmqvcq;Etgbfjvdorcuxlkbe;14103.6;13.17;3;2;1730;5;8;5111;6219;8
121;Cfevtkw;Niomnlrprsubreucp;15388.2;44.34;17;9;3586;8;8;680;1837;10
122;Xebglta;Epwsioahsubdmdcco;15920.1;34.19;22;9;9042;41;10;378;6578;9
123;Akkpvbq;Rweobwicjcjuwqlse;18677.1;38.17;20;2;9206;46;10;1480;6864;5
124;Tixoghj;Sgcntfwarlmsdhldf;11676.6;35.19;42;5;4526;17;7;5900;2127;3
125;Nviolvt;Tlmfwvqfbfbkmaahn;13337.1;20.34;11;5;989;1;2;2395;6782;8
126;Mjpnspw;Ekplhhxwhmddevghc;19978.8;17.85;12;3;8634;46;5;269;1474;5
127;Pkrrrui;Mlfglkegewdpxubio;19219.9;22.51;40;2;5846;48;3;691;1135;3
128;Reyqjwe;Lokutrcpnqmlqpquv;11197.8;21.36;24;9;8638;41;1;9731;971;5
129;Yusnbxp;Iivphjlmawjjchgdg;11349.9;14.02;41;1;6066;30;6;2039;672;6
130;Nfjskyp;Cypygoekadtvotmkc;14950.7;7.02;19;11;8215;26;7;5398;9858;4
131;Fwwujss;Tonbdnfxgmhnamrrc;12318.4;25.53;20;5;7449;33;5;7234;401;7
132;Nurqbmf;Eynsueqqxbcengbgr;18027.1;10.19;21;6;4739;49;8;1171;1408;7
133;Drvtxjg;Ibwokwqfbpxgakvky;11961.2;19.02;25;1;2994;2;1;5778;9910;4
134;Linhsiy;Btyhsfbbprodslaex;16238.3;29.17;24;10;5368;36;2;4682;99;2
135;Xygxweh;Bjvbgtkyrfmmvqmnw;15164.7;47.85;17;5;1998;14;8;6954;4166;9
136;Tlaaxqq;Ibftcwtnfsswkdiad;12247.3;22.02;32;2;381;47;1;6799;9886;4
137;Teqefrp;Hoqepvtwwybetxpyl;19740.4;35.68;9;9;1934;12;4;3297;2479;5
138;Krwskfv;Hnrdmsvpkhhkckcsv;14954.8;44.19;26;9;2991;33;1;4604;9559;3
139;Gpitecv;Qxdiyarjbkrlahwfu;15193.2;16.85;15;6;7432;15;4;2002;6416;7
140;Eqgpaeo;Nilpojtximsyyxrtr;16172.6;31.68;9;5;7486;2;6;9085;4744;7
141;Jgelimm;Hrrwejiyolckkavuj;14313;8.51;26;1;5894;39;6;7210;350;4
142;Vxajqya;Xfoxkqputewhkulnb;19255.4;12.53;35;2;2317;23;7;5235;5918;3
143;Qnrfayt;Gglrfuujlwycyuhhs;10778.2;29.17;6;2;1895;32;3;2380;9712;10
144;Bytkijx;Qduolkvpwgsvwyxhm;13970.6;19.53;15;1;3046;12;3;3474;5836;1
145;Xonstpo;Pkirtcpxxrlpgytku;12764.5;28.17;3;5;6524;23;6;768;1426;1
146;Telvsgc;Bpajaawvkdvmfhpao;16729.1;10.34;12;8;5315;8;9;5171;8505;6
147;Qdepjjt;Koybbitvfehblpovv;11500.4;2.36;20;9;8908;29;9;4287;4822;8
148;Ytydyaq;Lglptwqvxajkmpfdt;15765;30.19;10;9;454;27;2;5027;7566;6
149;Bpggsag;Dgcooroqhpqvyrout;16488.5;9.02;2;5;9281;19;9;3881;254;3
150;Qjvqyab;Dghyqndqtjygexawm;10201.1;35.36;6;8;7714;42;1;2017;7929;1
151;Pjrossn;Bpclncaltkciwcrbq;13301.4;28.34;26;10;8697;6;8;5504;9283;9
152;Idwjixv;Nxlejbsoedmfofclw;18957.3;4.85;17;1;2528;34;7;1668;6813;1
153;Vsyckkt;Wbjvxeidhvintevat;14231.8;31.19;17;3;1989;28;8;5290;2113;3
154;Ncxuphg;Gujfeasqvrtahpqsh;16295.8;5.02;18;5;1403;15;4;1795;4640;2
155;Lpugrkb;Mpxhtiyalpjkcwoty;11519.3;42.53;12;3;6749;50;8;8195;4264;10
156;Weawuvq;Fhwjcbgycmpkcnfbn;17859.1;5.51;21;8;1140;1;9;1899;3195;9
157;Grbajtp;Hkaaqkwtdudtdbunl;18952.4;7.68;44;9;6171;9;2;5817;3277;5
158;Uctgdjd;Skqnsshjqxtaqbwpp;18885.8;42.51;22;5;223;39;10;6029;3021;1
159;Hxffoln;Xjkeyswctmwnghsww;10518.7;19.36;36;3;3451;32;3;3230;1432;1
160;Ovqiqmq;Sebtjgmyyefwiooam;12253.2;19.85;14;4;2388;2;4;2509;1465;8
161;Lqledqj;Oqrebvxpkcmqbpsrt;10204.7;49.53;34;4;1137;45;6;3305;8948;4
162;Cocsrfx;Yitutskhokyfgxykv;11069.1;11.53;42;11;7903;10;10;2852;8259;6
163;Wncjlyh;Yoosahvqmxmdwwgwi;10542.9;31.36;7;11;8179;31;8;5125;433;4
164;Xrqrxfp;Httwlucyfurqlaaue;18729.3;46.19;29;2;3008;5;9;3518;71;1
165;Ldnfoye;Ftygjxhpkgxncsawj;14419.7;16.36;19;8;9163;33;8;3104;6277;3
166;Vbfdjmv;Hukgwqekumwpsfylf;13098.9;14.36;13;6;5548;17;2;3021;7666;5
167;Gnqcmbu;Fsmgvhoqkgvupffur;13525.6;17.36;31;7;5095;15;6;2526;7910;1
168;Oygnuun;Fepiypujdtlwileww;10303.3;44.17;44;3;458;26;7;5269;8023;9
169;Selqjqf;Qitakfiqjwadrbxke;12818.6;7.17;18;8;4664;17;6;1316;6770;6
170;Agwynmd;Xvvcddypwjpggmmuf;10929.8;18.53;10;9;1271;25;6;3166;7548;9
171;Hwnrpty;Tmphygvbanrtauttu;12704.3;2.53;21;6;8310;27;10;7613;2216;3
172;Yxgaqtj;Eoltpragalcpmommu;13285.9;37.36;6;11;8258;32;5;8453;6218;5
173;Uvexmev;Locpauknrftcgurva;14450.8;24.17;24;6;5978;18;10;4200;7612;10
174;Jsuewdx;Yiauqqdfrnkwonvlh;12036.2;12.34;42;7;9825;2;3;5195;8992;4
175;Hbcbxnf;Pvgjagmxmboisrmvr;16728.3;20.51;19;2;4915;17;2;424;279;6
176;Pacthcc;Ycwnmvnekxavvfvga;10306.6;12.36;29;9;3306;45;6;6740;7073;2
177;Mpldhns;Ygdgefiefkgdivbql;10286.5;6.17;9;1;82;43;1;4195;7460;4
178;Aofomtv;Hijwygsgicmqlxyrn;11619.6;20.53;16;9;8394;13;1;9545;3041;4
179;Cvnuyvp;Hliodludxqaxilxjm;15448.7;36.85;3;10;7374;3;9;8259;7236;2
180;Ghusrii;Isrvrhwbxmynurjam;14424.1;24.85;44;11;594;29;1;6183;316;3
181;Sifasvq;Uelkmysfmgqjjdvyg;18380.6;20.19;15;5;2224;36;7;4856;7147;5
182;Djonkjt;Cvmtuiltiknspqafi;14584.1;8.85;27;7;6229;25;3;8429;3711;10
183;Btwouvi;Odpfwsvdqlencqvnc;15079;33.19;33;1;9320;39;4;7860;529;2
184;Oumyunf;Wkarjlqpvqqasmecu;19800.8;8.51;3;8;4540;17;5;2930;9853;4
185;Bsdcjps;Sjsjcrrphpvjcrwmm;18602.2;11;44;2;2790;50;10;6877;1634;10
186;Dapupoj;Xllcncsuhnsdrusca;12401.1;27.02;25;8;3202;22;7;5245;395;8
187;Chsumpr;Bmhdikjtdcpafxadl;11234.3;42;31;3;5186;16;1;9727;158;2
188;Wqunhos;Wilsxrrebwcvoqnos;10912.8;4.36;16;7;6920;19;9;3707;628;8
189;Cblrbyb;Leonxnquievucnvog;18859.1;16.85;20;8;5861;50;1;1960;3482;9
190;Mhdxiot;Svgaccyqqnyprpris;11026.7;40.36;10;9;9441;11;10;589;6422;3
191;Jiktbbx;Famrorxijknkelfow;14078.3;12.36;21;1;7069;6;4;4762;2157;6
192;Ilsiiau;Pjpthkixyomowdxkd;11540.9;38.51;17;1;5431;9;5;3527;9956;10
193;Dyelnvf;Rmkodcrmmqsjekfuh;17068.7;24.51;6;6;6077;35;8;9900;3108;9
194;Ahhqmcj;Ofyssbsxjjdkfbgpi;18407.7;35.68;14;3;8357;1;3;2738;3154;8
195;Byffshw;Mepdwjyfmpjulgqca;11365.5;12.19;32;4;2219;11;6;281;6078;7
196;Irmeupg;Lxtfvmxytmvqxrskb;19502.8;22.34;34;6;6715;30;10;6171;8844;4
197;Ogndomd;Nggnwafkvhqajpsis;11845.4;2.51;7;11;9969;26;9;2464;3953;1
198;Qhalcqp;Ianjiajypsctlngjw;14106.2;14.53;3;9;4573;8;1;1522;4079;8
199;Fqejvky;Lljiwjkyxnyixhrpt;15298.4;15.85;28;1;2044;3;7;7730;163;9
200;Tqkypht;Gxyneoowpwopjbnje;10748.8;46.19;43;11;4292;46;5;7436;6093;4
201;Hfybldu;Kmrehlkytfutisayk;18301.2;18.68;13;4;47;38;5;6631;5506;7
202;Axfocyg;Jxwjelxymiovwrwyj;11696.1;33.17;5;3;9724;11;6;945;4446;2
203;Kqpohbo;Hspkwendeeeviupwt;14921.1;35.51;24;8;1297;8;7;9322;9900;6
204;Yeivjlu;Cnwauyhuhkwxgheiw;10051.8;34.85;22;6;4356;17;6;9006;7930;1
205;Cepdjvw;Ttiotuqogvqomcpdu;19375.7;22.36;34;2;9979;9;3;616;167;2
206;Grrvqyu;Xvxatrtdtlwcwmemr;16260.6;9.19;30;5;3777;5;5;4756;1520;10
207;Tinrdsb;Bntbbqpdaggqdnmjx;10859.5;25.02;22;6;8779;17;4;7892;3819;8
208;Yqsauex;Hqigiajxucvahuunb;11274.1;39;1;4;8171;11;7;2775;6562;2
209;Lbbxnrf;Kbyhsrkbbfhjprunj;12695.2;38.53;42;10;996;38;9;3270;2883;1
210;Grqeovk;Qpnnasxueilehbsip;19552.5;24.36;16;7;7439;3;8;768;2518;7
211;Dgyjbnd;Umwqadbuycfriwodv;14297.9;13.51;36;11;7596;34;9;8008;4192;3
212;Nylengx;Bgrmayikqcfdywbrk;15937;25.51;3;3;6795;39;9;3020;7047;6
213;Rxgrkkd;Vbpjipojclwbcscbr;12969.7;31;39;10;9212;32;4;7336;6934;7
214;Ywrsqhl;Pqcamgocphavkueow;11321.3;23.19;9;2;7941;12;3;3035;3170;8
215;Bvxcova;Vdjhcyucuughratlk;16192.8;3.68;42;11;5860;49;5;1977;60;10
216;Maxmpar;Nkogpmsfnuxdpuplt;16664.7;4.19;36;1;84;41;10;6881;3081;9
217;Snbkwrp;Xyuiueputhkxvmsri;12253.3;7.51;8;2;9268;37;9;1617;3568;6
218;Scfewft;Mlrwyhbeqajvcqdgg;17889.5;29.53;43;10;5909;50;2;2328;6275;1
219;Fxmlper;Depgudhexcqrvcvmf;17959.7;30.02;17;6;4179;8;10;5868;1329;2
220;Ivegcsu;Pclshhcibhtlnayqg;16400.6;24.53;3;1;4184;13;3;9309;4938;8
221;Itwxdek;Dmbjgvfitugsvwouv;11284.8;47.34;15;6;3340;34;7;2536;3332;3
222;Xrlchhw;Iasjrehxyiauduvpi;10054.1;4.85;29;8;6688;50;5;8319;1340;5
223;Nyqntqt;Cfofgmulqglbevaki;14507.1;21.02;15;8;8061;3;5;7847;8400;1
224;Ejilslb;Qnwagnffpatgvoegc;17388.8;7.68;45;5;2855;18;1;6307;6955;1
225;Cgtanyg;Ivpnxawncokfxfdns;18461.9;29.34;16;1;5862;14;8;769;7393;3
226;Onhskhh;Baolddumoopvkqsnd;17848.3;12.53;26;1;2743;1;8;6658;1437;6
227;Pwmgbca;Ahmwpbyjjknepxrnx;19393.7;35.02;24;5;9232;5;1;5263;2425;6
228;Hxrlcsx;Ycnsmrivlxaptcgmg;13144.2;22;5;3;2642;32;7;9881;5469;2
229;Ccylhrb;Mlmrudlqfleiigmpr;17993;38.19;21;5;5923;32;10;32;4410;6
230;Oubtvxc;Jnkenwpdgxucalpre;15679.2;43.68;10;8;1148;31;10;1784;6232;3
231;Khyvpna;Svbeurlfyahvmmfkx;15092.9;32;45;9;6974;40;4;2360;6013;8
232;Wffpdvo;Qpsxihxjehnvjyepq;13615.7;19.34;5;3;4203;11;2;1283;4608;5
233;Lgkvmen;Tutkvfjvsgnymypba;14412.2;40.53;38;2;4132;5;5;956;7390;7
234;Wjbnhml;Cswkyfdpexgjhalkv;19201.9;19.17;38;1;4286;45;3;9540;4380;3
235;Vtxjxim;Apkfwrlflmhajxhai;10922.2;40.34;36;10;521;6;7;6919;1790;10
236;Tdvswri;Gstkurqdtiorjcdqe;19271;18.68;43;1;8099;29;2;8728;390;5
237;Hamigow;Fycejykhhrrqqmnhp;17314.9;19.51;12;6;2873;46;4;936;9488;1
238;Fwthjlr;Wuvjrjnlwmhnxwoep;15579.8;29;19;10;5647;36;4;1054;4860;6
239;Vrmqgvo;Kqmenvwuxpqedqwqh;10545;14.36;8;1;2081;30;9;9042;2652;3
240;Utlrekq;Vsmixfefkcbsjdthk;12437.6;49.02;14;6;4426;14;8;6795;7584;8
241;Jgarslt;Jwgbufnacxduubyid;10980.8;23.02;36;3;2548;35;3;2475;3631;5
242;Lqofxev;Qlljjljiytdfacmkm;14178.4;33.34;28;6;1152;29;2;5976;1064;1
243;Lqxwnah;Nvdlfemkndgdixnir;12654.4;20.02;34;8;6471;2;2;6094;5241;9
244;Lwhhglb;Ocfqdwetrvehomnob;13100.1;31.19;22;3;9681;9;8;3522;1038;3
245;Icuonxu;Ueoebilgoydtoslwr;16776.9;50.17;43;2;5221;39;3;4729;3853;9
246;Mjqglfo;Gqckgnbmuskaijykv;14067.9;5.02;22;8;1554;26;2;2969;7665;8
247;Uybyebt;Aarwikylwgltvuuxm;11245.5;9.34;28;8;5212;34;3;5951;5733;3
248;Rcnniik;Psflunjsshkwdygpx;12349;3.17;41;7;7018;15;6;4273;9779;9
249;Tviitsf;Qnmuissfclssjebqe;17881.2;6.85;24;6;1935;35;8;5686;2155;6
250;Iiourdp;Cwgkbteedjrcwjtla;11940.8;24.17;10;2;2693;5;9;7413;873;4
251;Gwhtgsx;Tykuwmfkkalhwjejv;10770.3;18.85;17;8;7858;40;9;9178;5633;2
252;Pkgrldt;Idoybaiilixmexnyd;14357.1;46.36;35;9;2485;3;8;9455;3869;6
253;Ovppmcp;Uuqhdasidncbirrca;19984.1;8.53;39;10;9121;29;2;953;4299;7
254;Tsfqqea;Dpvcoubhkpcjxrhfs;12385.8;16.34;8;2;6204;48;5;6353;1903;10
255;Tbmctps;Xaioemexiibymetoo;16411.5;33.34;30;1;6089;2;4;2277;9711;6
256;Edyieop;Hpoagdoqujsdimipu;17066.7;21.02;24;4;6980;35;6;8831;2976;9
257;Dnkpvai;Rkfxoycgmlshqnxih;17078.5;2.19;37;4;3772;46;6;2086;4972;2
258;Uiywlpe;Rjqyvisrehtuudcsk;18574;50;16;4;9767;34;5;1746;7238;4
259;Wkhhusd;Waesebqovbkywvbpi;19233.1;24.19;3;4;578;42;9;2629;9024;1
260;Yrbtibl;Aombahwtmuwcivbfg;12455.3;6.19;17;3;1415;32;5;2631;5995;1
261;Mrrtqol;Hbbssoegtkwrxrshl;18324.7;4.02;16;5;3075;29;10;1985;3584;2
262;Egexwss;Hgckchsdovhtdptxo;11466.3;14.51;1;8;1207;25;5;942;5486;6
263;Hvfwdgp;Dynexnjavqgfjrwrn;17514.2;38.53;5;7;6782;42;9;1742;7780;7
264;Qiuoluo;Pmwqqeufchbapcvsu;11701.8;43.68;28;8;8047;11;3;332;6848;3
265;Eqnjmfr;Kekikvnokcyldtjfm;19378.3;20.17;45;9;1893;33;8;465;1128;8
266;Eceywhn;Igfmangybsoxhkdwv;14329.6;3.34;19;6;3661;2;8;6089;1480;2
